"","cytoGenes"
"4930412E21Rik",0.0114738620610326
"4930412M03Rik",0.0301951242301568
"4930413F20Rik",0.0176857727902167
"4930415O20Rik",0.00536501374445931
"4930422C21Rik",0.00853736109125002
"4930423D24Rik",-0.00234248359761691
"4930426D05Rik",0.0114399415537319
"4930426I24Rik",-0.0169996203110439
"4930426L09Rik",0.00682904603063148
"4930428N03Rik",0.0551193829560891
"4930429F24Rik",0.00290659266606959
"4930429P21Rik",0.0304278745639232
"4930430E12Rik",0.019926576486297
"4930430F08Rik",0.0790020345960411
"4930430F21Rik",0.0204915585040067
"4930430O22Rik",0.0253639133235411
"4930431F10Rik",0.00616748232944783
"4930431P22Rik",0.0158610504624029
"4930432K21Rik",0.0197681939607393
"4930434J06Rik",0.0228869037177225
"4930435F18Rik",-0.0341068237949361
"4930435M08Rik",0.0198076349429547
"4930439A04Rik",-0.00296107718898884
"4930439D14Rik",-0.0227693868789594
"4930440C22Rik",0.00825945746568601
"4930440I19Rik",0.0146602066658544
"4930444E06Rik",0.0383217895561747
"4930444F02Rik",0.0528816415243168
"4930444P10Rik",0.0551436655515765
"4930445E18Rik",0.00457246508778108
"4930445N18Rik",0.0379410497408315
"4930447C04Rik",0.121509028110917
"4930447F04Rik",-0.000728145102029188
"4930448I06Rik",0.0234825225789723
"4930449C09Rik",0.0193075705565873
"4930451I11Rik",0.0319926510158721
"4930452B06Rik",0.0818852035624952
"4930452G13Rik",0.0289821367559532
"4930453C13Rik",-0.00619587924579106
"4930453L07Rik",0.00855912358349389
"4930453N24Rik",0.0895805644587209
"4930455B14Rik",0.088697692081736
"4930455G09Rik",0.00959434264559527
"4930455M05Rik",0.0227060965098841
"4930458D05Rik",-0.0396450482627705
"4930458K08Rik",-0.0189940352888285
"4930459C07Rik",-0.0268283229267273
"4930461C15Rik",-0.00306390500061666
"4930461G14Rik",0.0259239506798115
"4930463O16Rik",-0.00199526793336955
"4930466I24Rik",-0.00396677152292182
"4930469K13Rik",0.0408701288018775
"4930471C04Rik",0.000287123796996573
"4930471C06Rik",-0.0150188726183989
"4930471G24Rik",0.0286618485566111
"4930473A02Rik",0.0168885894517978
"4930473H19Rik",0.0103523142329183
"4930474H20Rik",0.0217387591543313
"4930474N05Rik",0.0126388872528438
"4930477G07Rik",0.00685614396287989
"4930478P22Rik",0.0466427497760418
"4930479D17Rik",0.0031221498875753
"4930479H17Rik",-0.00234088021466801
"4930480M12Rik",0.0101181210733899
"4930481A15Rik",-0.0422051160691332
"4930488L21Rik",0.00658589614654915
"4930500F10Rik",-0.0226123835679653
"4930500L23Rik",0.0610138689112429
"4930500M09Rik",0.0278039248232713
"4930502E18Rik",0.0176834027166884
"4930503E14Rik",0.00993578057719636
"4930503L19Rik",0.060939143480303
"4930503O07Rik",0.0049379234231848
"4930505A04Rik",0.00541879679110341
"4930505K13Rik",-0.00931036633265795
"4930505N22Rik",0.0146847067274311
"4930507D05Rik",0.0301674787835394
"4930509E16Rik",0.00380619372000651
"4930509G22Rik",0.0173379528380813
"4930511E03Rik",-0.0202160292728228
"4930512J16Rik",0.00983008692566779
"4930512M02Rik",0.00944956970502842
"4930512P04Rik",-0.00212893460847164
"4930513D17Rik",-0.0166068665810345
"4930513N10Rik",0.0455287951443117
"4930513O06Rik",0.04595357532737
"4930515G01Rik",0.0306838621198003
"4930516K23Rik",0.00889965198881363
"4930518J21Rik",-0.0222792918862347
"4930519A11Rik",0.0248066458733257
"4930519D14Rik",0.00511657686457138
"4930519G04Rik",0.0232656902045285
"4930519L02Rik",0.0413808001887058
"4930519P11Rik",0.00715358649213124
"4930522H14Rik",0.0203009479995099
"4930522L14Rik",0.0253254397222018
"4930523C07Rik",0.147188507770515
"4930524B15Rik",0.034595395136246
"4930524O07Rik",0.0618057652446529
"4930524O08Rik",0.0450485667160612
"4930525G20Rik",0.0164250250652345
"4930528D03Rik",0.00844395685678216
"4930528G23Rik",0.0161366995682921
"4930528P14Rik",-0.0146466499983276
"4930529K09Rik",0.0229964487639756
"4930532G15Rik",0.0328936910467184
"4930533B01Rik",0.0398671396188773
"4930533D04Rik",-0.0318955975221582
"4930533I22Rik",0.0228464023917624
"4930533K18Rik",-0.00336226177779334
"4930534D22Rik",0.0140345045684467
"4930534H03Rik",0.0136485394665708
"4930535L15Rik",0.00351516775671715
"4930537H20Rik",0.0504482842799368
"4930539E08Rik",-0.222955218888504
"4930539J05Rik",0.0192159030613491
"4930540M05Rik",0.0328192691529864
"4930542C16Rik",0.00670591614333351
"4930543E12Rik",-0.0208156787236631
"4930543N07Rik",0.0261665008789917
"4930544D05Rik",0.0425992496744027
"4930544F09Rik",-0.00963671104265981
"4930544M13Rik",-0.0182785978479704
"4930545L08Rik",0.00814733733322976
"4930545L23Rik",0.0202989663200206
"4930546K05Rik",0.00530725426540524
"4930548H24Rik",0.0379777488427204
"4930550C14Rik",0.0679106038887198
"4930550C17Rik",0.00909607293308617
"4930550L24Rik",0.0254793554809428
"4930551L18Rik",-0.000365804168814962
"4930551O13Rik",-0.00679625201939335
"4930553P18Rik",0.0155462662695595
"4930556G22Rik",0.0178949903323356
"4930556J02Rik",-0.020266905156371
"4930556J24Rik",0.00085012534950013
"4930556N09Rik",-0.0274712565872863
"4930558C23Rik",0.0166737726257895
"4930558J18Rik",0.176359078223909
"4930558J22Rik",0.00528124651969577
"4930558K02Rik",0.0019994268601604
"4930558N11Rik",0.0202835479223666
"4930562A09Rik",0.0030654537937523
"4930562C15Rik",0.027360829027367
"4930562D21Rik",0.00825412828797488
"4930562F07Rik",0.0176807508062938
"4930562F17Rik",0.0136341566382626
"4930563E18Rik",-0.00290228242772831
"4930563J15Rik",0.0121714859145354
"4930563M21Rik",0.0171154208172241
"4930565N06Rik",0.0223047709738964
"4930566F21Rik",0.00152407623384695
"4930567K12Rik",0.0069530467005182
"4930568A12Rik",0.0568487255494985
"4930568E12Rik",0.107088037621238
"4930568G15Rik",0.0440949176003717
"4930570B17Rik",-0.0254535852639853
"4930570G19Rik",0.0439291380268684
"4930570N18Rik",0.0158751119518969
"4930572G02Rik",1.60674718500702e-05
"4930572O13Rik",0.0426715879112044
"4930573C15Rik",0.0195938826224016
"4930573H18Rik",0.00225265697658438
"4930573I07Rik",0.0112046509378549
"4930578G10Rik",0.00629417712509932
"4930578I06Rik",-0.00381935555540623
"4930579C12Rik",0.161225743982
"4930579F01Rik",0.0142192393727021
"4930579G18Rik",0.0028004210031459
"4930579G24Rik",0.0816005911268245
"4930579J19Rik",0.00201674123248524
"4930580E04Rik",0.0361087217659964
"4930587A21Rik",0.00838091794620771
"4930589L23Rik",-0.00620041703905347
"4930590J08Rik",0.0510622211272838
"4930592A05Rik",-0.00882120526610119
"4930592C13Rik",0.0263270140801039
"4930593A02Rik",0.00489185222605354
"4930593C16Rik",0.0172378405464474
"4930594M22Rik",-0.000653842953497258
"4930595D18Rik",0.0434370163648244
"4930599N23Rik",-0.105774535528418
"4931406C07Rik",0.0528095730311973
"4931406G06Rik",-0.00903730235963936
"4931406P16Rik",-0.020978191931181
"4931408C20Rik",0.0647513459329135
"4931414P19Rik",0.00642873092673981
"4931422A03Rik",-0.0128422106947389
"4931423N10Rik",0.0146071921044477
"4931428F04Rik",0.0614247147869171
"4931429L15Rik",0.0219090881011586
