,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Rdh11,0.9318,0.06820000000000004,2.6146734986376408,7.447707e-05,1.88032e-05,0.0,0.25,1.6437662,1.6236019,1.4772953,-4.133318,6.7371426,0.1274238,0.16004743,0.1024930747922438,0.1404860699466505,0.15840401,0.14496213,False,3 vs Rest,3,Rest
Prkcg,0.9376,0.06240000000000001,2.7097579938564973,6.880752e-05,1.92361e-05,0.0,0.25,1.6424509,1.7492061,2.8819876,-8.788843,11.526592,0.14958447,0.058684055,0.07756232686980612,0.04208654416123295,0.20748787,0.052381124,True,3 vs Rest,3,Rest
Elf4,0.9342,0.06579999999999997,2.6530705684654103,5.7903213e-05,1.8009161e-05,0.0,0.25,1.6416991,1.6775255,2.2630568,-6.4882355,9.604419,0.2299168,0.15174867,0.16066481994459839,0.11440426793123862,0.3032232,0.12010191,False,3 vs Rest,3,Rest
Npnt,0.932,0.06799999999999995,2.6178249731802863,6.408536e-05,2.0910142e-05,0.0,0.25,1.6415576,1.6930232,1.9125814,-5.6085033,7.606077,0.14404428,0.14048608,0.09418282548476457,0.10729104919976265,0.1651984,0.12709962,False,3 vs Rest,3,Rest
Rps6ka5,0.9292,0.07079999999999997,2.5744648697155985,5.9466005e-05,2.1449352e-05,0.0,0.25,1.6315438,1.6984825,1.9155649,-6.4492254,9.234947,0.24099715,0.13870777,0.16897506925207761,0.10847658565500864,0.29679775,0.12171786,False,3 vs Rest,3,Rest
Rgl2,0.9322,0.06779999999999997,2.6209850522269886,6.95889e-05,1.8659362e-05,0.0,0.25,1.6268756,1.6536536,1.7021481,-5.6149178,7.347743,0.20775613,0.16004743,0.1717451523545707,0.1375222288085355,0.2771722,0.1381204,False,3 vs Rest,3,Rest
Hist1h2ae,0.9322,0.06779999999999997,2.6209850522269886,5.3789343e-05,1.2272088e-05,0.0,0.25,1.6151218,1.5354328,2.509275,-5.5994205,10.376329,0.09972298,0.082394786,0.05263157894736844,0.07231772377000581,0.0920271,0.070257135,False,3 vs Rest,3,Rest
Eif2ak4,0.9328,0.06720000000000004,2.6305174299780223,7.331154e-05,2.2151582e-05,0.0,0.25,1.6143962,1.6265697,1.3619356,-4.67027,6.62869,0.20775616,0.18553646,0.15235457063711916,0.1630112625963244,0.2798827,0.16767842,False,3 vs Rest,3,Rest
Nrde2,0.934,0.06599999999999995,2.6498215553939164,4.806315e-05,1.406723e-05,0.0,0.25,1.613999,1.7020226,1.7466222,-5.6163588,7.14482,0.14681435,0.12922348,0.11911357340720226,0.11440426793123862,0.19928968,0.11114952,False,3 vs Rest,3,Rest
Pms1,0.931,0.06899999999999995,2.6021526384934215,2.8833765e-05,9.308094e-06,0.0,0.25,1.6121619,1.6174765,2.062879,-6.033779,9.456541,0.06925207,0.05749852,0.05817174515235459,0.05453467694131589,0.094395846,0.052897,False,3 vs Rest,3,Rest
Lmo7,0.9306,0.06940000000000002,2.595942538551336,4.593105e-05,1.5450902e-05,0.0,0.25,1.6032847,1.6484361,1.7017393,-6.073061,7.381995,0.21606639,0.13989331,0.15235457063711916,0.10729104919976265,0.26062965,0.11354716,False,3 vs Rest,3,Rest
Lrrc45,0.9276,0.07240000000000002,2.550394178648677,3.9912076e-05,1.2323089e-05,0.0,0.25,1.60082,1.5440121,1.5132631,-3.8589792,6.5092373,0.18282539,0.12744518,0.16620498614958454,0.11440426793123862,0.21374784,0.11119151,False,3 vs Rest,3,Rest
Ttn,0.9336,0.06640000000000001,2.643350884598785,0.00015874144,4.9074457e-05,0.0,0.25,1.5938083,1.6445136,2.1097546,-5.974188,8.177726,0.700831,0.30764672,0.23822714681440452,0.13040901007705955,0.91756535,0.24224143,False,3 vs Rest,3,Rest
Atg4a,0.9258,0.07420000000000004,2.523893954454423,8.39908e-05,2.8901344e-05,0.0,0.25,1.5926409,1.6973743,1.7742438,-5.275771,7.149111,0.21883649,0.1772377,0.13019390581717455,0.1381149970361585,0.28977236,0.1553129,False,3 vs Rest,3,Rest
