,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,mean,std,cytoGenes,gcsGenes
Ran,False,30286,2.6177442,44.734585135307746,143455.0,30286,2.271404982464466e-12,0.6126831636867759,0.510003787467957,0.47165555468679
Bspry,False,24283,1.6052079,55.68876480356197,87967.0,24283,-2.6734572478576957e-11,0.5898537041716452,0.509682649785218,0.471334667618451
Fezf2,False,29311,4.458641,46.51374974909217,244338.0,29311,-1.3845046328884993e-10,0.8733314927329242,0.508009989719731,0.471321678624313
Rpl36,False,46927,15.713582,14.368350942501051,861120.0,46927,2.4680540460671367e-10,0.689674388976938,0.507787303321343,0.469222910233308
Manf,False,30591,3.2778234,44.178025948431596,179628.0,30591,-1.8083014491392946e-10,0.7488874082440045,0.506819991987493,0.469080053136686
Hebp1,False,20536,1.3682232,62.52623127315196,74980.0,20536,5.74884388042714e-11,0.616847473013126,0.506611149705397,0.468475989198321
Mpc1,False,29630,2.1579533,45.9316435831463,118258.0,29630,6.709445101774885e-11,0.583507252151249,0.506336007241905,0.468208378307234
H2afz,False,38322,6.812795,30.070619149285594,373348.0,38322,-3.8610472172127093e-11,0.7608829162586653,0.506334083765231,0.46775462235733
Rpl5,False,41748,7.6755533,23.81890841408003,420628.0,41748,4.290578860063302e-11,0.680675661333983,0.505909391411024,0.466910624875802
Syngr2,False,29444,2.0409482,46.27105344792978,111846.0,29444,1.9501235214495497e-10,0.6071462802559655,0.505153449956845,0.466634301333899
Rps15a,False,45758,17.744202,16.501523694823085,972400.0,45758,-3.9773308346369395e-11,0.8429068478764761,0.502779163530292,0.46585546395158
Rpl10a,False,45739,14.257277,16.53619459498914,781313.0,45739,-4.204615680671872e-11,0.7058257159070784,0.502028100407928,0.465267840565177
