,table
snapc5,s1
slc24a1,s1
slc51b,s1
spg21,s1
snx22,s1
snx1,s1
sltm,s1
scg3,s1
slc17a5,s1
senp6,s1
sh3bgrl2,s1
snap91,s1
snx14,s1
syncrip,s1
slc9a9,s1
spsb4,s1
slc25a36,s1
slc35g2,s1
stag1,s1
slco2a1,s1
srprb,s1
sema3b,s1
slc38a3,s1
sema3f,s1
slc25a20,s1
slc26a6,s1
shisa5,s1
smarcc1,s1
scap,s1
setd2,s1
stac,s1
susd5,s1
stt3b,s1
slc22a14,s1
slc22a13,s1
scn5a,s1
scn11a,s1
slc25a38,s1
sec22c,s1
ss18l2,s1
snrk,s1
sacm1l,s1
slc6a20b,s1
slc6a20a,s1
sfi1,s1
selenom,s1
smtn,s1
slc35e4,s1
sec14l4,s1
sec14l3,s1
