,table
inpp5f,i
ikzf5,i
inpp5a,i
ifitm5,i
ifitm2,i
ifitm1,i
ifitm3,i
ifitm6,i
irf7,i
ifitm10,i
igf2,i
ipcef1,i
ifngr1,i
il22ra2,i
il20ra,i
ipmk,i
itgb2,i
icosl,i
ilvbl,i
izumo4,i
igf1,i
ikbip,i
il22,i
ifng,i
irak3,i
il23a,i
ikzf4,i
itga7,i
insr,i
irs2,i
ing1,i
ikbkb,i
ido2,i
ido1,i
irf2,i
ing2,i
ints10,i
isyna1,i
il12rb1,i
insl3,i
inpp4b,i
il15,i
il27ra,i
ier2,i
itfg1,i
irx3,i
irx5,i
ist1,i
il34,i
irf8,i
irf2bp2,i
itgb1,i
il3ra,i
il17rd,i
il17rb,i
itih4,i
itih3,i
itih1,i
irf9,i
ipo4,i
ift88,i
il17d,i
ints6,i
ints9,i
itm2b,i
ipo5,i
itgbl1,i
izumo1r,i
icam1,i
icam4,i
icam5,i
ilf3,i
igsf9b,i
ift46,i
il10ra,i
il18,i
idh3a,i
ireb2,i
isl2,i
imp3,i
islr,i
islr2,i
itga11,i
iqch,i
ints14,i
igdcc4,i
igdcc3,i
ice2,i
impg1,i
irak1bp1,i
ibtk,i
il20rb,i
ifrd2,i
ip6k1,i
impdh2,i
ip6k2,i
itga9,i
inpp5j,i
igfbp3,i
ikzf1,i
il9r,i
il12b,i
itk,i
irgm1,i
ifi47,i
il4,i
il13,i
il5,i
irf1,i
igtp,i
irgm2,i
iba57,i
inca1,i
itgae,i
inpp5k,i
ift20,i
ints2,i
itga3,i
igf2bp1,i
ikzf3,i
igfbp4,i
ifi35,i
itga2b,i
itgb3,i
icam2,i
itgb4,i
idi1,i
idi2,i
inhba,i
irf4,i
id4,i
ippk,i
iars,i
idnk,i
isca1,i
ice1,i
irx1,i
irx2,i
iqgap2,i
ipo11,i
il6st,i
il31ra,i
itga2,i
itga1,i
isl1,i
itsn2,i
itgb1bp1,i
iah1,i
id2,i
ifrd1,i
immp2l,i
isca2,i
ift43,i
irf2bpl,i
ism2,i
itpk1,i
ifi27,i
ifi27l2a,i
inf2,i
itgb8,i
il7r,i
ift27,i
il2rb,i
irak4,i
igfbp6,i
itgb7,i
itga5,i
igll1,i
igf2bp2,i
il1rap,i
iqcg,i
itgb5,i
ildr1,i
iqcb1,i
igsf11,i
ift57,i
impg2,i
ifnar2,i
il10rb,i
ifnar1,i
ifngr2,i
itsn1,i
igsf5,i
itgb2l,i
igf2r,i
igfals,i
ift140,i
