,table
b4galnt1,b
baz2a,b
bloc1s1,b
b3gnt2,b
bcl11a,b
bod1,b
bc053393,b
btnl9,b
bc049762,b
btnl10,b
b9d1os,b
b9d1,b
b430319h21rik,b
b130011k05rik,b
borcs6,b
bcl6b,b
bhlha9,b
blmh,b
bcas3,b
bcas3os1,b
bcas3os2,b
brip1,b
brip1os,b
b4galnt2,b
b230217c12rik,b
becn1,b
brca1,b
bc030867,b
bloodlinc,b
bptf,b
btbd17,b
bc018473,b
birc5,b
baiap2,b
bahcc1,b
b3gntl1,b
bcap29,b
bzw2,b
b230217j21rik,b
baz1a,b
brms1l,b
bc042761,b
bbof1,b
batf,b
bb287469,b
btbd7,b
b430119l08rik,b
bdkrb2,b
bdkrb1,b
bcl11b,b
begain,b
b830012l14rik,b
bag5,b
b020018j22rik,b
brf1,b
btbd6,b
b3galnt2,b
btn1a1,b
btn2a2,b
bc005537,b
bphl,b
bmp6,b
bloc1s5,b
barx1,b
bicd2,b
bb123696,b
b4galt7,b
b230219d22rik,b
bc051665,b
bc048507,b
brd9,b
bhmt,b
bhmt2,b
btf3,b
bdp1,b
bc001981,b
b230220b15rik,b
bc067074,b
b430218f22rik,b
b020031m17rik,b
bc147527,b
bap1,b
btd,b
bmpr1a,b
bc061237,b
bmp4,b
b230359f08rik,b
bcl2l2,b
b020004c17rik,b
blk,b
bnip3l,b
bin3,b
bmp1,b
bora,b
brix1,b
basp1,b
bc048602,b
baalc,b
bc024139,b
bop1,b
baiap2l2,b
bik,b
brd1,b
b130046b21rik,b
bcdin3d,b
bin2,b
bfar,b
b3gnt5,b
b630019a10rik,b
bcl6,b
bdh1,b
bex6,b
b4galt4,b
boc,b
btla,b
bc016579,b
bbx,b
btg3,b
bach1,b
brwd1,b
b3galt5,b
bace2,b
b230307c23rik,b
bc002059,b
bicdl2,b
bricd5,b
bc003965,b
baiap3,b
bnip1,b
bak1,b
brpf3,b
bc004004,b
btbd9,b
brd4,b
bc051226,b
b3galt4,b
bc051537,b
brd2,b
btnl2,b
btnl1,b
bc051142,b
btnl4,b
btnl6,b
bag6,b
bc023719,b
b230354k17rik,b
bicral,b
bysl,b
b430306n03rik,b
birc6,b
bambi,b
b4galt6,b
b930094e09rik,b
bin1,b
brd8,b
bc037039,b
bvht,b
bc031181,b
bbs1,b
b4gat1,b
brms1,b
banf1,b
batf2,b
bad,b
bscl2,b
b3gat3,b
best1,b
btaf1,b
blnk,b
bloc1s2,b
btrc,b
borcs7,b
bbip1,b
b230217o12rik,b
btbd35f7,b
bmp15,b
b630019k06rik,b
bcor,b
btg1-ps2,b
bcorl1,b
brs3,b
bgn,b
bcap31,b
brcc3,b
bc061195,b
brwd3,b
btk,b
bhlhb9,b
bex2,b
bex4,b
bex1,b
bex3,b
bclaf3,b
bmx,b
pcmtd1,p0
ppp1r42,p0
prex2,p0
prdm14,p0
pi15,p0
pkhd1,p0
paqr8,p0
phf3,p0
ptp4a1,p0
prim2,p0
ptpn18,p0
prss39,p0
prss40,p0
plekhb2,p0
pdcl3,p0
pantr1,p0
pou3f3,p0
pms1,p0
pgap1,p0
plcl1,p0
ppil3,p0
pard3b,p0
pard3bos1,p0
pard3bos2,p0
pard3bos3,p0
plekhm3,p0
pikfyve,p0
pth2r,p0
pecr,p0
pinc,p0
pnkd,p0
plcd4,p0
prkag3,p0
ptprn,p0
pax3,p0
pid1,p0
psmd1,p0
ptma,p0
pde6d,p0
prss56,p0
platr5,p0
prlh,p0
per2,p0
pask,p0
ppp1r7,p0
pdcd1,p0
panct2,p0
ppip5k2,p0
pam,p0
pign,p0
phlpp1,p0
ptpn4,p0
pfkfb2,p0
pigr,p0
pm20d1,p0
pik3c2b,p0
ppp1r15b,p0
plekha6,p0
prelp,p0
ppfia4,p0
platr1,p0
ppp1r12b,p0
ptpn7,p0
phlda3,p0
pkp1,p0
platr23,p0
platr22,p0
ptprc,p0
pla2g4a,p0
ptgs2,p0
ptgs2os2,p0
pdc,p0
prg4,p0
pappa2,p0
prdx6,p0
pigc,p0
prrc2c,p0
prrx1,p0
pou2f1,p0
pogk,p0
pbx1,p0
pcp4l1,p0
ppox,p0
pfdn2,p0
pex19,p0
pea15a,p0
pigm,p0
pld5,p0
psen2,p0
parp1,p0
pycr2,p0
ptpn14,p0
prox1,p0
prox1os,p0
ppp2r5a,p0
plxna2,p0
prpf18,p0
phyh,p0
proser2,p0
prkcq,p0
pfkfb3,p0
pter,p0
plxdc2,p0
pip4k2a,p0
ptf1aos,p0
ptf1a,p0
pdss1,p0
psd4,p0
pax8,p0
pnpla7,p0
paxx,p0
ptgds,p0
phpt1,p0
pmpca,p0
ppp1r26,p0
pkn3,p0
phyhd1,p0
ptpa,p0
prrx2,p0
ptges,p0
prdm12,p0
plpp7,p0
prrc2b,p0
pomt1,p0
ptges2,p0
pip5kl1,p0
ptrh1,p0
pbx3,p0
psmd5,p0
phf19,p0
ptgs1,p0
pdcl,p0
psmb7,p0
ppp6c,p0
prpf40a,p0
pkp4,p0
pla2r1,p0
psmd14,p0
ppig,p0
phospho2,p0
platr26,p0
pdk1,p0
pde11a,p0
prkra,p0
pjvk,p0
plekha3,p0
ppp1r1c,p0
pde1a,p0
prdx6b,p0
prg2,p0
prg3,p0
p2rx3,p0
pramel7,p0
pramel6,p0
ptprj,p0
psmc3,p0
pacsin3,p0
phf21a,p0
pex16,p0
prdm11,p0
prr5l,p0
pamr1,p0
pdhx,p0
pin1rt1,p0
prrg4,p0
pax6os1,p0
paupar,p0
pax6,p0
pak6,p0
plcb2,p0
phgr1,p0
ppp1r14d,p0
pla2g4b,p0
pla2g4e,p0
pla2g4d,p0
pla2g4f,p0
ppip5k1,p0
pdia3,p0
patl2,p0
prom2,p0
polr1b,p0
pdyn,p0
pced1a,p0
ptpra,p0
pank2,p0
prnp,p0
prnd,p0
pcna,p0
prokr2,p0
plcb1,p0
platr3,p0
plcb4,p0
pak7,p0
pcsk2os1,p0
pcsk2,p0
pcsk2os2,p0
polr3f,p0
pax1,p0
platr15,p0
pygb,p0
psmf1,p0
pdrg1,p0
plagl2,p0
pofut1,p0
pxmp4,p0
pigu,p0
procr,p0
phf20,p0
platr27,p0
ppp1r16b,p0
plcg1,p0
ptprt,p0
ptprtos,p0
pkig,p0
pabpc1l,p0
pigt,p0
pltp,p0
pcif1,p0
platr29,p0
prex1,p0
ptgis,p0
ptpn1,p0
pard6b,p0
pfdn4,p0
pck1,p0
pmepa1,p0
pmepa1os,p0
prelid3b,p0
phactr3,p0
ppp1r3d,p0
psma7,p0
ppdpf,p0
ptk6,p0
prpf6,p0
pcmtd2,p0
polr3k,p0
pex2,p0
pkia,p0
pag1,p0
pmp2,p0
pde7a,p0
pld1,p0
phc3,p0
prkci,p0
pik3ca,p0
pex5l,p0
plk4,p0
pgrmc2,p0
platr4,p0
pcdh10,p0
pabpc4l,p0
pcdh18,p0
proser1,p0
postn,p0
pfn2,p0
p2ry14,p0
p2ry13,p0
p2ry12,p0
p2ry1,p0
plch1,p0
ptx3,p0
ppm1l,p0
pdcd10,p0
platr10,p0
ppid,p0
pdgfc,p0
plrg1,p0
prss48,p0
pear1,p0
prcc,p0
paqr6,p0
pmf1,p0
pklr,p0
pygo2,p0
pbxip1,p0
pmvk,p0
pglyrp4,p0
pglyrp3,p0
prr9,p0
pogz,p0
psmb4,p0
pi4kb,p0
psmd4,p0
pip5k1a,p0
prune1,p0
prpf3,p0
plekho1,p0
platr30,p0
polr3gl,p0
pex11b,p0
pias3,p0
polr3c,p0
pdzk1,p0
prkab2,p0
pde4dip,p0
phgdh,p0
ptgfrn,p0
ptpn22,p0
phtf1os,p0
phtf1,p0
ppm1j,p0
pifo,p0
prok1,p0
psma5,p0
psrc1,p0
prpf38b,p0
prmt6,p0
palmd,p0
plppr4,p0
plppr5,p0
ptbp2,p0
pde5a,p0
prss12,p0
pitx2,p0
pla2g12a,p0
papss1,p0
ppa2,p0
ppp3ca,p0
pdha2,p0
pdlim5,p0
pkn2,p0
prkacb,p0
ptgfr,p0
pigk,p0
ptger3,p0
plag1,p0
penk,p0
plekhf2,p0
pdp1,p0
prdm13,p0
pnisr,p0
pou3f2,p0
pm20d2,p0
pnrc1,p0
phf24,p0
pigo,p0
pax5,p0
polr1e,p0
plppr1,p0
ppp3r2,p0
ptpn3,p0
pakap,p0
ptgr1,p0
ptbp3,p0
prpf4,p0
pole3,p0
pappa,p0
ptprd,p0
psip1,p0
plin2,p0
plaa,p0
patj,p0
pgm1,p0
pde4b,p0
prkaa2,p0
plpp3,p0
pcsk9,p0
pars2,p0
podn,p0
prpf38a,p0
pdzk1ip1,p0
pomgnt1,p0
pik3r3,p0
prdx1,p0
ptch2,p0
plk3,p0
ptprf,p0
p3h1,p0
ppih,p0
ppcs,p0
ppt1,p0
ppie,p0
pabpc4,p0
pou3f1,p0
psmb2,p0
phc2,p0
ptp4a2,p0
pef1,p0
pum1,p0
ptpru,p0
phactr4,p0
ptafr,p0
ppp1r8,p0
pigv,p0
pdik1l,p0
pafah2,p0
paqr7,p0
pnrc2,p0
pithd1,p0
pink1,p0
pla2g2c,p0
pla2g2f,p0
pla2g2d,p0
pla2g5,p0
pla2g2e,p0
pqlc2,p0
pax7,p0
padi6,p0
padi4,p0
padi3,p0
padi1,p0
padi2,p0
plekhm2,p0
prdm2,p0
pdpn,p0
pramel1,p0
pramef8,p0
pramef6,p0
pramef25,p0
pramef17,p0
pramel4,p0
pramel5,p0
pramef20,p0
